Boiler Model,Burner Model,Number of identical boilers,Boiler capacity (Gross BTU),Boiler Installation Date,Age range of boiler,Is boiler dual fuel capable?,Primary Fuel,Total Estimated Cosumption - Low Estimate (Gallons) ,Needs to comply with Greener Greater Buildings Laws?,Deadline for complying with Audit and Retrocommissioning Law,Building Type,Total area of buildings on lot,Number of floors,Number of total units,Year constructed
BEST  5A-60,ICI  MMG 28,1,2.8,2000,5—10,DUAL FUEL,#4,17246,No,0,Elevator Apartments,33900,6,60,1928
BEST  5B-100 (NEW),INDUSTRIAL COMBUSTION  MEG-42P (NEW),1,3.3,2005,5—10,DUAL FUEL,#6,27957,Yes,2015,Loft Buildings,54488,17,81,1930
BEST  5B-100 (NEW),ICI  MMG-42(P),1,3.34,2003,5—10,DUAL FUEL,#4,31120,Yes,2017,Elevator Apartments,68160,6,52,1909
BEST  5B-50,INDUSTRIAL COMB. MMG-22,1,2.03,1995,11—15,DUAL FUEL,#4,18779,No,0,Elevator Apartments,20365,6,31,1920
BEST  5B-60 (NEW),INDUSTRIAL COMBUSTION  MMG-28,1,2,2005,5—10,DUAL FUEL,#4,17247,No,0,Elevator Apartments,38034,9,36,1923
BEST  5B-70,IND.COMB.   MEG-34 S,1,2.84,2000,5—10,DUAL FUEL,#4,35167,Yes,2021,Elevator Apartments,54600,6,51,1962
BEST  5B-70,INDUSTRIAL  COMB.  MMG-28,1,2.94,2001,5—10,DUAL FUEL,#4,14941,Yes,2013,Condominiums,50762,13,15,1906
BEST  5B-70  (NEW),ICI  MMG-28  (NEW),1,2.3,2007,5--,DUAL FUEL,#4,16097,No,0,Walk-Up Apartments,32690,5,55,1910
BEST  5B-80,IND. COMB. MMG-34 (P),1,3.4,1993,16—20,Not Dual,#4,26291,No,0,Elevator Apartments,49840,8,37,1900
BEST  5B-90,ICI MMG-42P,1,3.01,2003,5—10,DUAL FUEL,#4,20389,No,0,Elevator Apartments,43500,5,54,1928
BEST  5B100 (NEW),INDUSTRIAL COMBUSTION  DEG-42P,1,3.34,2003,5—10,DUAL FUEL,#6,20772,Yes,2018,Elevator Apartments,75747,6,72,1974
BEST  5C 150,ICI  DEG  63 P,1,6.3,2001,5—10,DUAL FUEL,#6,34339,Yes,2020,Walk-Up Apartments,70692,6,78,1920
BEST  5C- 125,IND COMB.  MMG-54 P,1,5.25,2000,5—10,DUAL FUEL,#4,40242,Yes,2021,Walk-Up Apartments,62352,9,33,1918
BEST  5C-100,INDUSTRIAL  COMB.  DEG-42 P,1,4.2,2000,5—10,DUAL FUEL,#6,20790,Yes,2013,Elevator Apartments,57652,6,66,1964
BEST  5C-100  (NEW),INDUSTRIAL COMBUSTION  MMG-42P (NEW),1,3.34,2005,5—10,DUAL FUEL,#4,22228,No,0,Elevator Apartments,42102,5,63,1928
BEST  5C-125,HEVE (IC)  DEG-54 P,2,5.25,2002,5—10,DUAL FUEL,#6,40242,Yes,2019,Loft Buildings,107600,21,99,1963
BEST  5C-125,INDUSTRIAL COMB. MEG-54 P,1,5.3,1999,11—15,DUAL FUEL,#6,40180,No,0,Walk-Up Apartments,48000,6,54,1939
BEST  5C-125,INDUSTRIAL COMB. MEG-54 P,1,5.3,1999,11—15,DUAL FUEL,#6,40242,No,0,Elevator Apartments,48000,6,54,1939
BEST  5C-125,NDUSTRIAL COMB. DEG-54 (P),1,5.3,1998,11—15,DUAL FUEL,#6,40241,Yes,2020,Elevator Apartments,57228,6,83,1951
BEST  5C-125   (NEW),HEVE IC DEG-54P  (NEW),1,4.18,2002,5—10,DUAL FUEL,#6,287438,Yes,2013,Walk-Up Apartments,55883,10,39,1928
BEST  5C-125 (NEW),HEVE IC  DEG-54S (NEW),2,4.1,2008,5--,DUAL FUEL,#6,34492,Yes,2022,Elevator Apartments,116104,15,85,1955
BEST  5C-150,INDUSTRIAL COMB. DEG-63 P,1,6.3,1998,11—15,DUAL FUEL,#4,47574,Yes,2022,Elevator Apartments,73125,16,48,1927
BEST  5C-150,IND COMB. DEG-63 P,2,6.3,2000,5—10,DUAL FUEL,#4,48111,Yes,2014,Elevator Apartments,184263,14,42,1926
BEST  5C-150,INDUSTRIAL COMB.  DEG-63 P,1,6.3,1999,11—15,DUAL FUEL,#6,48111,Yes,2021,Elevator Apartments,65692,9,54,1927
BEST  5C-200,INDUSTRIAL COMBUSTION  DEG-84P,1,6.6,2006,5--,DUAL FUEL,#6,42541,Yes,2021,Elevator Apartments,152016,15,95,1928
BEST  5C150 (NEW),INDUSTRIAL COMBUSTION MMG-63P (NEW),1,5.02,2003,5—10,DUAL FUEL,#4,34110,Yes,2017,Elevator Apartments,132000,6,112,1940
BEST  5D - 150 ,ICI MMG - 63 (P),1,5,2006,5--,DUAL FUEL,#4,34110,Yes,2020,Elevator Apartments,78000,6,82,1940
BEST  5D-150 (NEW),INDUSTRIAL COMBUSTION  DEG-63P,2,5,2006,5--,DUAL FUEL,#6,63619,Yes,2020,Factory & Industrial Buildings,201462,15,147,1964
BEST  5D-200,INDUSTRIAL COMB. DEG 84 P,1,7.77,1999,11—15,DUAL FUEL,#6,42541,Yes,2014,Elevator Apartments,94800,6,82,1939
BEST  5D-200 (NEW),HEVE (I.C)   DEG-84P (NEW),1,6.6,2003,5—10,DUAL FUEL,#6,57487,Yes,2018,Elevator Apartments,151704,20,103,1950
BEST  5D-200 (NEW),ICI   MMG-84P (NEW),1,6.69,2003,5—10,DUAL FUEL,#4,45224,Yes,2016,Elevator Apartments,141408,22,22,1932
BEST  5D-250,INDUSTRIAL COMB. DEG-105 P,1,10.4,1999,11—15,DUAL FUEL,#4,79409,Yes,2014,Elevator Apartments,151909,6,102,1926
BEST  5D-300,IND.COMB. DEG-145 P,1,10.04,2000,5—10,DUAL FUEL,#4,53018,Yes,2017,Walk-Up Apartments,173024,14,66,1917
BEST  5E-350,ICI  DEG-145 P,3,14.7,2000,5—10,DUAL FUEL,#6,73814,Yes,2014,Elevator Apartments,676308,16,658,1950
BEST  5E-350  (NEW),INDUSTRIAL COMBUSTION DEG-145P (NEW),1,11.7,2005,5—10,DUAL FUEL,#6,36401,Yes,2019,Elevator Apartments,330291,25,36,1927
BEST  5E-350 (NEW),ICI  DEG-145P (NEW),1,11.7,2006,5--,DUAL FUEL,#6,55209,Yes,2022,Elevator Apartments,397978,21,147,1924
BEST  BOILER-MODEL 5C-150 (NEW),INDUSTRIAL COMBUSTION-DEG-63-(P)(NEW),2,5.02,2003,5—10,DUAL FUEL,#6,68678,Yes,2019,Elevator Apartments,208788,15,77,1928
BEST -5D-150,INDUST.COMB.-DEG-63P,1,6.3,2001,5—10,DUAL FUEL,#6,34339,Yes,2019,Elevator Apartments,91200,6,100,1962
BEST (NEW) 5A-70,ICI (EXTG)  MMG-34S,1,2.34,2003,5—10,DUAL FUEL,#4,15177,No,0,Elevator Apartments,4876,4,12,1920
BEST (NEW) 5B-125,ICI (NEW) MEG-54P,1,5.1,1986,21—26,Not Dual,#6,65101,Yes,2021,Office Buildings,63522,6,82,1927
BEST 4 B 100,ICI  MMG-42,1,4.2,1994,16—20,Not Dual,#4,22225,No,0,Walk-Up Apartments,6250,2,1,1931
BEST 4 B 100,ICI  MMG 42,1,4.2,1993,16—20,Not Dual,#4,22225,No,0,Elevator Apartments,33100,7,41,1963
BEST 4 B 90 (NEW),RAY PAECR-144(SIZE 100),1,3.92,1997,11—15,DUAL FUEL,#4,21462,No,0,Elevator Apartments,49680,6,53,1959
BEST 4 B-110,ICI MMG 54-P,1,4.8,1987,21—26,Not Dual,#4,36485,Yes,2015,Elevator Apartments,56436,7,92,1920
BEST 4 C-125,ICI MMG 54 P,1,5.3,1987,21—26,Not Dual,#4,34492,Yes,2018,Elevator Apartments,75600,6,84,1941
BEST 4 C150,ICI MM 63P,1,5.1,1986,21—26,Not Dual,#4,44800,Yes,2022,Elevator Apartments,68508,12,19,1908
BEST 4A 45,IND. COMB. MMG 22,1,1.7,1986,21—26,DUAL FUEL,#4,11498,No,0,Elevator Apartments,28374,6,24,1925
BEST 4A-55,I.C.I. MMG 28,1,2.3,1986,21—26,Not Dual,#4,8483,No,0,Elevator Apartments,10090,5,15,1910
BEST 4A-65,IND COMB INC MM-28,1,2.5,1985,21—26,Not Dual,#4,18907,No,0,Walk-Up Apartments,28168,9,19,1922
BEST 4A-65,IND COMB INC MM-28,1,2.5,1985,21—26,Not Dual,#4,18907,No,0,Vacant Land,27308,9,20,1925
BEST 4B - 110 (NEW),ICI  MEG - 42P  (NEW),1,3.6,2008,5--,DUAL FUEL,#6,23532,No,0,Condominiums,30000,5,32,1923
BEST 4B 80,INDUSTRIAL COMBUSTION MMG-34 (P),1,3.4,1988,21—26,Not Dual,#4,26291,No,0,Elevator Apartments,40800,6,42,1928
BEST 4B-100,ICI MMG-42P,1,4.2,2002,5—10,DUAL FUEL,#4,22228,Yes,2017,Walk-Up Apartments,85200,6,85,1941
BEST 4B-100,ICI MMG 42P,1,4.2,1988,21—26,Not Dual,#4,31120,No,0,Elevator Apartments,41800,7,56,1920
BEST 4B-100,ICI DEG 42P,1,4.2,1988,21—26,Not Dual,#6,31299,Yes,2020,Elevator Apartments,53455,6,60,1939
BEST 4B-100,INDUSTRIAL COMBUSTION DEG 42 P,1,4.2,1994,16—20,Not Dual,#6,40880,Yes,2017,Walk-Up Apartments,53662,6,55,1927
BEST 4B-70,ICIMMG34P,1,2.77,1990,16—20,Not Dual,#4,24500,No,0,Office Buildings,47505,6,53,1928
BEST 4B-80,IND COMBUSION MMG-34P,1,3.1,1989,21—26,Not Dual,#4,16800,No,0,Vacant Land,10730,5,15,1910
BEST 4B-80,I.C.I. MMG-34 P,1,3.1,1986,21—26,Not Dual,#4,18396,No,0,Elevator Apartments,35000,5,55,1929
BEST 4B-80,ICI DEG 42YP,1,3.27,1989,21—26,Not Dual,#6,28003,No,0,Elevator Apartments,36162,5,45,1923
BEST 4B-80,ICI DEG 42Y P,1,3.3,1987,21—26,Not Dual,#4,25039,Yes,2013,Hospitals & Health,58300,6,50,1940
BEST 4B-80,ICI MMG 34 P,1,3.4,1987,21—26,Not Dual,#4,26291,No,0,Office Buildings,12980,5,16,1901
BEST 4B-80,I.C.I. MMG-34-P,1,3.43,1995,11—15,DUAL FUEL,#4,34748,No,0,Walk-Up Apartments,34040,5,53,1927
BEST 4B-90,I.C.I. MM 42 P,1,3.7,1986,21—26,Not Dual,#4,13593,No,0,Elevator Apartments,41735,5,53,1927
BEST 4B-90,IND.COMB.  MMG- 42 P,1,3.78,2001,5—10,DUAL FUEL,#4,20389,Yes,2013,Elevator Apartments,63479,11,15,1908
BEST 4B-90,INDUSTRIAL COMBUSTION MMG-42P,1,3.78,2002,5—10,DUAL FUEL,#4,20389,Yes,2017,Walk-Up Apartments,62010,6,58,1941
BEST 4B-90,ICI MMG 42P,1,3.78,1988,21—26,Not Dual,#4,28616,Yes,2021,Condominiums,58810,7,58,1916
BEST 4B-90,INDUSTRIAL COMBUSTION MMG-42(P),1,3.8,1986,21—26,Not Dual,#4,28616,No,0,Elevator Apartments,49000,6,57,1967
BEST 4B100,ICI DEG 42 P,1,4.2,1987,21—26,Not Dual,#6,23100,Yes,2016,Elevator Apartments,65250,6,69,1929
BEST 4B100 (NEW),ICI DEG42P (NEW),1,4.1,1996,11—15,DUAL FUEL,#4,15277,Yes,2013,Churches,84745,12,10,1910
BEST 4B110,IND COMB MM54P,1,4.3,1989,21—26,Not Dual,#4,33600,No,0,Elevator Apartments,11826,6,24,1920
BEST 4B90 (NEW),ICI MMG42P (EX),1,3.7,1996,11—15,DUAL FUEL,#4,20389,No,0,Walk-Up Apartments,34140,6,72,1930
BEST 4C - 125 (NEW),ICI DEG - 54P (NEW),1,4.1,2008,5--,DUAL FUEL,#6,18060,Yes,2019,Elevator Apartments,61896,6,80,1962
BEST 4C - 125 (NEW),ICI MMG - 54 (P)  (NEW),1,4.1,2007,5--,DUAL FUEL,#4,40242,Yes,2018,Elevator Apartments,62738,10,52,1962
BEST 4C - 150 (NEW),ICI DEG - 63P (NEW),1,5,2007,5--,DUAL FUEL,#6,31810,Yes,2016,Elevator Apartments,67421,10,80,1952
BEST 4C - 175 (EXSTG),ICI DEG-84P (NEW),1,5.85,2005,5—10,DUAL FUEL,#6,35259,Yes,2020,Hotels,119040,6,106,1940
BEST 4C - 200 (NEW),ICI DEG - 84P (NEW) ,1,6.6,2006,5--,DUAL FUEL,#6,41958,Yes,2017,Elevator Apartments,155938,20,88,1953
BEST 4C-100 (NEW),ICI  DEG-42P (NEW),1,3.3,2005,5—10,DUAL FUEL,#6,22306,Yes,2016,Elevator Apartments,35567,6,62,1962
BEST 4C-115,CI DWG 54 P,1,4.8,1987,21—26,Not Dual,#6,36843,Yes,2014,Walk-Up Apartments,84000,6,60,1948
BEST 4C-125,ICI DEG-54P (NEW),1,4.1,2005,5—10,DUAL FUEL,#6,37988,Yes,2016,Walk-Up Apartments,70220,5,80,1928
BEST 4C-125,INDUSTRIAL COMB.  MMG-54P,1,5.25,2002,5—10,DUAL FUEL,#4,28743,Yes,2021,Elevator Apartments,59020,13,60,1964
BEST 4C-175,HEVE (I.C.)DEG-83P,2,6.44,1996,11—15,DUAL FUEL,#6,22995,Yes,2020,Elevator Apartments,102354,16,134,1931
BEST 4C-175 (NEW),ICI MMG-84P (NEW),1,5.86,2003,5—10,DUAL FUEL,#4,38938,Yes,2021,Walk-Up Apartments,120500,6,105,1939
BEST 4C-200,ICI DEG 84P,1,8.4,1991,16—20,Not Dual,#6,70000,No,0,Office Buildings,843564,40,1,2008
BEST 4C-200 (NEW),ICI DEG-84P (NEW),1,6.6,2003,5—10,DUAL FUEL,#6,29137,Yes,2015,Walk-Up Apartments,189734,23,15,1925
BEST 4C-200 (NEW),I.C.    DEG-84P (NEW),1,6.69,2003,5—10,DUAL FUEL,#4,30712,Yes,2019,Elevator Apartments,154380,8,8,1928
BEST 4C-200 (NEW),ICI DEG-84P  (NEW),1,6.69,2003,5—10,DUAL FUEL,#4,44841,Yes,2019,Walk-Up Apartments,100621,15,30,1905
BEST 4C-225,ICI DEG 105 P,1,8.8,1988,21—26,Not Dual,#4,67605,Yes,2015,Elevator Apartments,171044,6,163,1928
BEST 4C125,I.C.I. DEG 54P,2,4.81,1993,16—20,Not Dual,#6,52500,Yes,2021,Educational Structures,128811,15,45,1927
BEST 4C125,ICI MMG54,1,5,1996,11—15,DUAL FUEL,#4,27594,Yes,2019,Factory & Industrial Buildings,55780,6,65,1925
BEST 4C150,INDUSTRIAL COMBUSTION DEG-63P,1,5.81,1996,11—15,DUAL FUEL,#6,31810,No,0,Elevator Apartments,45600,6,42,1929
BEST 5 A 60,ICI MMG 28,1,2.6,1986,21—26,Not Dual,#4,19853,No,0,Elevator Apartments,44431,6,37,1937
BEST 5 B 100,ICI MMG 42 P,1,4.2,1986,21—26,Not Dual,#4,27720,Yes,2016,Elevator Apartments,55764,6,64,1920
BEST 5 B-100,ICI MMG 42 P,1,4.2,1986,21—26,Not Dual,#4,31120,Yes,2022,Loft Buildings,67570,6,78,1942
BEST 5 B-80,INDUSTRIAL COMBUSTION MMG-34 (P),1,3.4,1987,21—26,Not Dual,#4,26291,Yes,2016,Office Buildings,65250,6,49,1937
BEST 5 B-90,ICI MMG 42-P,1,3.7,1986,21—26,Not Dual,#4,28616,No,0,Walk-Up Apartments,48750,5,51,1923
BEST 5 C 175,ICI DEG 84 P,1,7.36,1987,21—26,Not Dual,#6,45990,Yes,2019,Elevator Apartments,94455,15,75,1926
BEST 5-D-250 (NEW),ICI DEG-105P (NEW) ,1,8.3,2007,5--,DUAL FUEL,#6,104551,Yes,2019,Elevator Apartments,256000,16,208,1965
BEST 58-90,I.C. DEG-42 (P),1,3.8,1995,11—15,DUAL FUEL,#4,29153,Yes,2022,Office Buildings,58361,9,35,1916
BEST 5A - 40 (NEW),ICI MMG - 22 (NEW),1,1.3,2006,5--,DUAL FUEL,#4,13235,No,0,Educational Structures,13328,4,21,1926
BEST 5A - 40 (NEW),ICI MMG - 22 (NEW),1,1.3,2006,5--,DUAL FUEL,#4,13235,No,0,Elevator Apartments,13328,4,21,1926
BEST 5A - 40 (NEW),ICI MMG - 22 (NEW),1,1.3,2008,5--,DUAL FUEL,#4,13235,No,0,Elevator Apartments,20880,4,23,1936
BEST 5A - 50 (NEW),ICI MMG - 22 (NEW),1,1.6,2008,5--,DUAL FUEL,#4,15560,No,0,Elevator Apartments,21732,6,41,1920
BEST 5A - 50 (NEW),ICI MMG - 22 (NEW),1,1.6,2007,5--,DUAL FUEL,#4,16454,No,0,Elevator Apartments,23636,5,27,1922
BEST 5A - 50 (NEW),ICI MMG - 22 (NEW),1,1.6,2007,5--,DUAL FUEL,#4,16454,No,0,Elevator Apartments,24410,5,36,1912
BEST 5A - 60 (NEW),ICI MMG - 28 (NEW),1,2,2006,5--,DUAL FUEL,#4,19853,No,0,Store Buildings,28800,4,31,1930
BEST 5A- 50,ICI MMG 22,1,2,1986,21—26,Not Dual,#4,20440,No,0,Elevator Apartments,21270,6,35,1920
BEST 5A-40 (NEW),ICI MMG-22,1,1.33,2003,5—10,DUAL FUEL,#4,9428,No,0,Office Buildings,22000,5,27,1926
BEST 5A-40 (NEW),IND. COMBUSTION MMG-22 (NEW),1,1.34,2002,5—10,DUAL FUEL,#4,13235,No,0,Office Buildings,22000,5,25,1928
BEST 5A-60,INDU COMBU MMG-28,1,2.6,1985,21—26,Not Dual,#4,19853,No,0,Walk-Up Apartments,28160,4,26,1927
BEST 5A-60,ICI MM 28,1,2.6,1987,21—26,Not Dual,#4,19853,No,0,Elevator Apartments,42940,4,39,1925
BEST 5A-70,IND COMB INC MM-30,1,2.9,1985,21—26,Not Dual,#4,21462,No,0,Elevator Apartments,27522,6,42,1906
BEST 5A50,ICI MMG22,1,2.14,1990,16—20,Not Dual,#6,12600,No,0,Office Buildings,21144,6,24,1900
BEST 5A70,ICI MMG30,1,2.94,1984,26—30,Not Dual,#4,12600,No,0,Loft Buildings,38016,4,39,1921
BEST 5B - 100 (NEW),ICI MMG - 42 (P) (NEW),1,3.3,2008,5--,DUAL FUEL,#4,31120,Yes,2019,Elevator Apartments,50808,6,58,1926
BEST 5B - 100 (NEW),ICI DEG - 42(P)   (NEW),1,3.3,2008,5--,DUAL FUEL,#6,31299,Yes,2022,Elevator Apartments,54220,6,49,1930
BEST 5B - 125 (EXSTG),ICI DEG-42 (P) (NEW),1,4.1,2005,5—10,DUAL FUEL,#6,2164,Yes,2018,Elevator Apartments,57600,6,53,1936
BEST 5B - 125 (NEW),ICI DEG-54P (NEW),2,4.1,2008,5--,DUAL FUEL,#6,34492,Yes,2018,Hotels,171085,15,186,1924
BEST 5B - 125 (NEW),HEVE (I. C.)  DEG - 54P (EXSTG),1,4.1,2006,5--,DUAL FUEL,#6,34492,Yes,2013,Elevator Apartments,70245,6,75,1956
BEST 5B - 150 (NEW),,1,5,2008,5--,DUAL FUEL,#6,48111,Yes,2018,Walk-Up Apartments,78576,6,84,1930
BEST 5B - 70 (NEW),ICI MMG - 28 (NEW),1,2.3,2008,5--,DUAL FUEL,#4,22535,No,0,Office Buildings,33420,5,44,1923
BEST 5B - 70 (NEW) ,ICI MMG - 28 (NEW),2,2.3,2008,5--,DUAL FUEL,#4,39705,Yes,2014,Asylums & Homes,134235,5,13,1904
BEST 5B - 80 (NEW),ICI MMG - 34P (NEW),1,2.6,2008,5--,DUAL FUEL,#4,15177,No,0,Loft Buildings,36540,6,37,1927
BEST 5B - 80 (NEW),ICI DEG - 42Y (P),1,2.6,2007,5--,DUAL FUEL,#6,25039,No,0,Elevator Apartments,44550,5,48,1919
BEST 5B - 90 (NEW),ICI MMG - 42 (P)   (NEW),1,3,2006,5--,DUAL FUEL,#4,18973,No,0,Elevator Apartments,46285,5,51,1923
BEST 5B - 90 (NEW),HEVE (I.C.) MEG - 42P (NEW),1,3,2006,5--,DUAL FUEL,#6,22995,Yes,2017,Loft Buildings,56126,15,16,1924
BEST 5B - 90 (NEW) ,ICI DEG - 42P (NEW),1,3,2007,5--,DUAL FUEL,#6,19546,Yes,2013,Walk-Up Apartments,67810,6,48,1930
BEST 5B 100,HEVE MMG-42 P,1,4.2,1998,11—15,DUAL FUEL,#4,28744,No,0,Elevator Apartments,47551,9,43,1923
BEST 5B-100,IND COMB INC MEG-42(P),1,4.2,1985,21—26,Not Dual,#6,15739,No,0,Condominiums,20909,6,35,1915
BEST 5B-100,INDUSTRIAL COMBUSTION DEG-42 (P),1,4.2,2002,5—10,DUAL FUEL,#6,31299,Yes,2017,Office Buildings,55890,6,72,1910
BEST 5B-100,IRON FIREMAN AGO 6-4.2 RK,1,4.2,1987,21—26,Not Dual,#6,32193,Yes,2022,Elevator Apartments,53502,6,48,1936
BEST 5B-100,ICI DE 42 P,2,4.2,1988,21—26,Not Dual,#6,102200,Yes,2017,Elevator Apartments,75379,12,28,1910
BEST 5B-100 (NEW),S. T. JOHNSON FD68 CAHM SIZE 100 (NEW),1,3.3,2005,5—10,DUAL FUEL,#6,28744,Yes,2022,Elevator Apartments,52092,6,77,1939
BEST 5B-125,ICI MM54P,1,5.28,1986,21—26,Not Dual,#4,38325,Yes,2022,Elevator Apartments,100875,6,79,1927
BEST 5B-125,IND. COMB.MMG-54-P,1,5.3,1986,21—26,Not Dual,#4,80483,Yes,2020,Walk-Up Apartments,98238,6,93,1937
BEST 5B-50,ICI MMG-22,1,2,1987,21—26,Not Dual,#4,28207,No,0,Elevator Apartments,21408,6,32,1920
BEST 5B-60,HEVE MMG-28  ( I.C.I. ),1,2.6,1986,21—26,Not Dual,#4,17247,No,0,Elevator Apartments,27200,5,32,1920
BEST 5B-60,ICI MMG 28,1,2.6,1988,21—26,Not Dual,#4,19853,No,0,Elevator Apartments,25822,5,32,1920
BEST 5B-60 (NEW),ICI MMG - 28 (NEW),2,2,2008,5--,DUAL FUEL,#4,28361,Yes,2022,Elevator Apartments,81215,13,83,1962
BEST 5B-70,INDUSTRIAL COMBUSTION  DEG-42P,1,2.3,2008,5--,DUAL FUEL,#6,15560,No,0,Elevator Apartments,23165,6,38,1930
BEST 5B-70,ICI MMG 28,1,2.8,1988,21—26,Not Dual,#4,21284,No,0,Condominiums,17685,5,20,1915
BEST 5B-70,ICI ME 34 P,1,2.8,1986,21—26,Not Dual,#4,21820,Yes,2016,Condominiums,62548,5,47,1924
BEST 5B-80,INDUSTRIAL COMB.  MEG-34 P,1,3.3,1998,11—15,DUAL FUEL,#6,25039,No,0,Walk-Up Apartments,46086,12,36,1908
BEST 5B-80,ICI  MMG-34 P,1,3.36,2002,5—10,DUAL FUEL,#4,18780,Yes,2019,Elevator Apartments,63000,6,58,1941
BEST 5B-80,HEVE  (ICI)  MMG-34 P,1,3.36,2001,5—10,DUAL FUEL,#4,22995,Yes,2018,Walk-Up Apartments,57516,9,36,1912
BEST 5B-80,INDUSTRIAL COMBUSTION MMG-34 (P),1,3.4,1986,21—26,Not Dual,#4,26291,Yes,2014,Store Buildings,53684,6,56,1926
BEST 5B-80,INDUSTRIAL COMB.  MMG-34 P,1,3.43,2000,5—10,DUAL FUEL,#4,26291,No,0,Walk-Up Apartments,36935,6,64,1929
BEST 5B-90,INDUSTRIAL COMB. MMG-42P,1,3.7,1986,21—26,Not Dual,#4,28616,No,0,Elevator Apartments,46680,6,44,1905
BEST 5B-90,ICI.MM-42 P,1,3.72,1986,21—26,Not Dual,#4,47574,No,0,Office Buildings,41520,8,32,1940
BEST 5B-90 (EXSTG),ICI MMG-42P  (NEW),1,3.01,2005,5—10,DUAL FUEL,#4,10150,No,0,Elevator Apartments,12500,4,17,1931
BEST 5B125,ICI MEG54P,1,5.25,1988,21—26,Not Dual,#6,22400,No,0,Walk-Up Apartments,9728,4,16,1927
BEST 5B70,ICI MMG-28,1,2.94,1990,16—20,Not Dual,#4,11200,Yes,2017,Office Buildings,54018,12,16,1935
BEST 5B90,ICI MM 42P,1,3.7,1986,21—26,Not Dual,#4,27185,Yes,2014,Walk-Up Apartments,58368,6,67,1927
BEST 5C - 100 (NEW) ,ICI DEG - 42 (P)  (NEW),2,3.3,2009,5--,DUAL FUEL,#6,41503,Yes,2019,Elevator Apartments,122681,16,5,1928
BEST 5C - 125 (NEW),ICI MMG - 54P (NEW),1,4.1,2007,5--,DUAL FUEL,#4,28744,Yes,2013,Elevator Apartments,60642,6,60,1940
BEST 5C - 125 (NEW),ICI DEG - 54 (P) (NEW),1,4.1,2006,5--,DUAL FUEL,#6,40242,Yes,2015,Loft Buildings,71126,12,86,1913
BEST 5C - 125 (NEW),ICI DEG - 54P (NEW),2,4.1,2005,5—10,DUAL FUEL,#6,80482,Yes,2015,Walk-Up Apartments,128072,13,113,1949
BEST 5C - 150 (NEW),ICI DEG - 63P (NEW),1,5,2008,5--,DUAL FUEL,#6,31810,Yes,2020,Elevator Apartments,62800,8,32,1908
BEST 5C - 150 (NEW),HEVE (I.C.) DEG - 63P (NEW),2,5,2008,5--,DUAL FUEL,#6,45990,Yes,2018,Elevator Apartments,143437,16,107,1947
BEST 5C - 150 (NEW),HEVE (ICI) DEG - 63P (NEW),1,5,2007,5--,DUAL FUEL,#6,45990,Yes,2016,Elevator Apartments,100530,16,99,1929
BEST 5C - 150 (NEW),ICI DEG-63 (P)  (NEW),1,5.02,2005,5—10,DUAL FUEL,#6,3163,Yes,2017,Condominiums,89628,6,82,1930
BEST 5C - 150 (NEW0,ICI  DEG-63 (P)    (NEW),1,5.02,2005,5—10,DUAL FUEL,#6,45607,Yes,2014,Elevator Apartments,124648,14,32,1929
BEST 5C - 200 (NEW),ICI DEG - 84P (NEW),1,6.6,2008,5--,DUAL FUEL,#6,38325,Yes,2021,Elevator Apartments,168680,18,160,1964
BEST 5C - 200 (NEW),HEVE (I.C.) DEG - 84P (NEW),2,6.6,2007,5--,DUAL FUEL,#6,57487,Yes,2014,Elevator Apartments,209920,14,160,1953
BEST 5C - 200 (NEW),HEVE (I.C.) DEG - 84S (EXSTG),2,6.6,2006,5--,DUAL FUEL,#6,57487,Yes,2021,Condominiums,247908,14,235,1955
BEST 5C - 200 (NEW),ICI DEG - 84 P  (NEW),1,6.6,2005,5—10,DUAL FUEL,#6,62777,Yes,2022,Walk-Up Apartments,121503,16,166,1929
BEST 5C - 200 (NEW),ICI DEG - 84P (NEW),2,6.6,2006,5--,DUAL FUEL,#6,85082,Yes,2019,Elevator Apartments,211870,14,71,1926
BEST 5C -200,IND. COMB.DEG-84P,2,8.4,1986,21—26,Not Dual,#6,57487,Yes,2017,Elevator Apartments,142836,16,186,1916
BEST 5C 100 (NEW),ICI MMG-42P (NEW),1,3.3,2007,5--,DUAL FUEL,#4,15225,Yes,2019,Elevator Apartments,84000,3,2,1931
BEST 5C 125,ICI DEG 54P,1,5.3,1984,26—30,Not Dual,#6,24911,Yes,2018,Walk-Up Apartments,63538,6,72,1929
BEST 5C 150,HEVE MEG 63 P,2,6.27,1996,11—15,DUAL FUEL,#6,45990,Yes,2014,Elevator Apartments,200200,15,167,1938
BEST 5C 150,INDUSTRIAL COMB. MMG-63 P,1,6.3,2002,5—10,DUAL FUEL,#4,18690,Yes,2018,Elevator Apartments,68225,14,99,1963
BEST 5C 175,HEVE DEG 85P,1,6.44,1990,16—20,Not Dual,#4,34729,Yes,2022,Condominiums,77640,16,94,1930
BEST 5C-100,IND COMB DEG-42 (P),1,4.2,1985,21—26,Not Dual,#6,31299,Yes,2015,Elevator Apartments,62586,6,68,1939
BEST 5C-125,HEVE IC DEG-54P,1,4.18,2003,5—10,DUAL FUEL,#6,34492,Yes,2020,Elevator Apartments,103004,16,111,1962
BEST 5C-125,INDUSTRIAL  COMB.  MMG-54 P,1,5.25,2001,5—10,DUAL FUEL,#4,40242,Yes,2021,Loft Buildings,71043,10,18,1910
